0.000	0.023
0.010	0.027
0.020	0.001
0.030	-0.024
0.040	-0.019
0.050	-0.007
0.060	-0.009
0.070	-0.014
0.080	-0.013
0.090	-0.010
0.100	-0.010
0.110	-0.011
0.120	-0.012
0.130	-0.013
0.140	-0.013
0.150	-0.011
0.160	-0.008
0.170	-0.007
0.180	-0.007
0.190	-0.009
0.200	-0.010
0.210	-0.010
0.220	-0.011
0.230	-0.013
0.240	-0.012
0.250	-0.009
0.260	-0.007
0.270	-0.008
0.280	-0.007
0.290	-0.007
0.300	-0.008
0.310	-0.011
0.320	-0.010
0.330	-0.008
0.340	-0.007
0.350	-0.007
0.360	-0.007
0.370	-0.007
0.380	-0.007
0.390	-0.007
0.400	-0.006
0.410	-0.007
0.420	-0.007
0.430	-0.006
0.440	-0.005
0.450	-0.004
0.460	-0.003
0.470	-0.003
0.480	-0.005
0.490	-0.006
0.500	-0.006
0.510	-0.005
0.520	-0.004
0.530	-0.004
0.540	-0.005
0.550	-0.005
0.560	-0.004
0.570	-0.003
0.580	-0.004
0.590	-0.003
0.600	-0.003
0.610	-0.003
0.620	-0.004
0.630	-0.003
0.640	-0.001
0.650	-0.001
0.660	-0.002
0.670	-0.002
0.680	-0.001
0.690	-0.000
0.700	-0.001
0.710	-0.000
0.720	0.000
0.730	0.000
0.740	0.001
0.750	0.002
0.760	0.003
0.770	0.002
0.780	0.002
0.790	0.002
0.800	0.001
0.810	0.000
0.820	0.000
0.830	0.000
0.840	0.001
0.850	0.002
0.860	0.003
0.870	0.004
0.880	0.003
0.890	0.003
0.900	0.004
0.910	0.003
0.920	0.003
0.930	0.002
0.940	0.002
0.950	0.002
0.960	0.001
0.970	0.002
0.980	0.005
0.990	0.006
1.000	0.005
1.010	0.003
1.020	0.002
1.030	0.003
1.040	0.004
1.050	0.004
1.060	0.002
1.070	0.001
1.080	0.003
1.090	0.005
1.100	0.005
1.110	0.003
1.120	0.003
1.130	0.003
1.140	0.004
1.150	0.004
1.160	0.004
1.170	0.004
1.180	0.005
1.190	0.006
1.200	0.004
1.210	0.002
1.220	0.001
1.230	0.002
1.240	0.002
1.250	0.004
1.260	0.006
1.270	0.006
1.280	0.004
1.290	0.003
1.300	0.002
1.310	0.002
1.320	0.002
1.330	0.001
1.340	0.002
1.350	0.004
1.360	0.004
1.370	0.002
1.380	0.002
1.390	0.003
1.400	0.003
1.410	0.003
1.420	0.003
1.430	0.004
1.440	0.003
1.450	0.003
1.460	0.003
1.470	0.002
1.480	0.002
1.490	0.002
1.500	0.003
1.510	0.002
1.520	0.001
1.530	0.001
1.540	0.002
1.550	0.004
1.560	0.005
1.570	0.005
1.580	0.003
1.590	0.002
1.600	0.003
1.610	0.004
1.620	0.004
1.630	0.004
1.640	0.003
1.650	0.002
1.660	0.001
1.670	0.001
1.680	0.002
1.690	0.003
1.700	0.002
1.710	0.001
1.720	0.002
1.730	0.003
1.740	0.003
1.750	0.002
1.760	0.001
1.770	0.001
1.780	0.001
1.790	0.001
1.800	0.002
1.810	0.000
1.820	0.000
1.830	0.002
1.840	0.003
1.850	0.002
1.860	0.001
1.870	0.001
1.880	0.001
1.890	0.001
1.900	0.001
1.910	0.001
1.920	0.001
1.930	-0.000
1.940	-0.000
1.950	-0.001
1.960	-0.001
1.970	-0.000
1.980	0.000
1.990	-0.001
2.000	-0.001
2.010	0.001
2.020	0.001
2.030	0.001
2.040	0.002
2.050	0.002
2.060	0.002
2.070	-0.000
2.080	-0.001
2.090	0.000
2.100	0.000
2.110	0.000
2.120	0.001
2.130	0.002
2.140	0.001
2.150	-0.000
2.160	-0.001
2.170	-0.001
2.180	0.000
2.190	0.001
2.200	0.000
2.210	0.000
2.220	-0.000
2.230	-0.000
2.240	0.002
2.250	0.003
2.260	0.003
2.270	0.002
2.280	0.003
2.290	0.004
2.300	0.003
2.310	0.002
2.320	0.001
2.330	0.001
2.340	0.002
2.350	0.003
2.360	0.002
2.370	0.000
2.380	0.002
2.390	0.005
2.400	0.006
2.410	0.004
2.420	0.001
2.430	0.001
2.440	0.001
2.450	0.002
2.460	0.002
2.470	0.002
2.480	0.004
2.490	0.005
2.500	0.005
2.510	0.003
2.520	0.002
2.530	0.003
2.540	0.004
2.550	0.004
2.560	0.004
2.570	0.004
2.580	0.003
2.590	0.003
2.600	0.005
2.610	0.005
2.620	0.004
2.630	0.003
2.640	0.004
2.650	0.005
2.660	0.004
2.670	0.002
2.680	0.002
2.690	0.004
2.700	0.005
2.710	0.004
2.720	0.004
2.730	0.004
2.740	0.005
2.750	0.005
2.760	0.005
2.770	0.005
2.780	0.003
2.790	0.002
2.800	0.003
2.810	0.005
2.820	0.005
2.830	0.004
2.840	0.004
2.850	0.003
2.860	0.002
2.870	0.001
2.880	0.003
2.890	0.004
2.900	0.004
2.910	0.004
2.920	0.004
2.930	0.003
2.940	0.003
2.950	0.004
2.960	0.004
2.970	0.004
2.980	0.003
2.990	0.003
3.000	0.004
3.010	0.004
3.020	0.003
3.030	0.002
3.040	0.003
3.050	0.004
3.060	0.005
3.070	0.004
3.080	0.003
3.090	0.004
3.100	0.004
3.110	0.003
3.120	0.002
3.130	0.005
3.140	0.007
3.150	0.007
3.160	0.005
3.170	0.004
3.180	0.004
3.190	0.004
3.200	0.003
3.210	0.003
3.220	0.003
3.230	0.004
3.240	0.004
3.250	0.002
3.260	0.002
3.270	0.004
3.280	0.005
3.290	0.004
3.300	0.003
3.310	0.002
3.320	0.003
3.330	0.004
3.340	0.004
3.350	0.002
3.360	0.001
3.370	0.002
3.380	0.003
3.390	0.004
3.400	0.004
3.410	0.003
3.420	0.003
3.430	0.004
3.440	0.004
3.450	0.003
3.460	0.003
3.470	0.002
3.480	0.002
3.490	0.002
3.500	0.002
3.510	0.002
3.520	0.002
3.530	0.003
3.540	0.003
3.550	0.004
3.560	0.004
3.570	0.003
3.580	0.003
3.590	0.004
3.600	0.005
3.610	0.004
3.620	0.003
3.630	0.001
3.640	0.001
3.650	0.003
3.660	0.004
3.670	0.002
3.680	-0.000
3.690	0.000
3.700	0.001
3.710	0.002
3.720	0.002
3.730	0.003
3.740	0.003
3.750	0.003
3.760	0.003
3.770	0.002
3.780	0.002
3.790	0.002
3.800	0.002
3.810	0.003
3.820	0.004
3.830	0.003
3.840	0.002
3.850	0.002
3.860	0.002
3.870	0.001
3.880	0.001
3.890	0.002
3.900	0.002
3.910	0.000
3.920	-0.000
3.930	0.000
3.940	0.001
3.950	0.001
3.960	0.001
3.970	-0.001
3.980	-0.000
3.990	0.002
4.000	0.003
4.010	0.001
4.020	0.000
4.030	0.001
4.040	0.002
4.050	0.002
4.060	0.001
4.070	0.001
4.080	0.003
4.090	0.002
4.100	0.001
4.110	0.001
4.120	0.002
4.130	0.000
4.140	-0.002
4.150	-0.002
4.160	-0.000
4.170	0.001
4.180	0.001
4.190	0.001
